time_epoch,time,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,state,city
1634293800,2021-10-15 16:00,31.8,89.2,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",4.6,7.4,75,ENE,1003.0,29.61,0.0,0.0,47,8,33.9,93.1,31.8,89.2,33.9,93.1,18.7,65.7,0,0,0,0,10.0,6.0,6.1,9.8,Andhra Pradesh,Amaravati
1634297400,2021-10-15 17:00,29.6,85.3,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",3.7,5.9,90,E,1003.0,29.62,0.0,0.0,51,8,31.3,88.3,29.6,85.3,31.3,88.3,18.2,64.7,0,0,0,0,10.0,6.0,5.7,9.2,Andhra Pradesh,Amaravati
1634301000,2021-10-15 18:00,27.5,81.5,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",2.7,4.3,105,ESE,1004.0,29.64,0.0,0.0,55,8,28.6,83.5,27.5,81.5,28.6,83.5,17.6,63.7,0,0,0,0,10.0,6.0,5.4,8.6,Andhra Pradesh,Amaravati
1634304600,2021-10-15 19:00,26.6,79.8,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",3.1,5.0,80,E,1004.0,29.65,0.0,0.0,57,12,27.7,81.9,26.6,79.8,27.7,81.9,17.3,63.1,0,0,0,0,10.0,6.0,6.4,10.3,Andhra Pradesh,Amaravati
1634308200,2021-10-15 20:00,25.6,78.1,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",3.6,5.8,55,NE,1005.0,29.67,0.0,0.0,59,16,26.9,80.4,25.6,78.1,26.9,80.4,16.9,62.5,0,0,0,0,10.0,6.0,7.5,12.0,Andhra Pradesh,Amaravati
1634311800,2021-10-15 21:00,24.7,76.5,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.0,6.5,30,NNE,1005.0,29.69,0.0,0.0,61,20,26.0,78.8,24.7,76.5,26.0,78.8,16.6,61.9,0,0,0,0,10.0,6.0,8.5,13.7,Andhra Pradesh,Amaravati
1634315400,2021-10-15 22:00,23.9,75.0,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.0,6.5,36,NE,1005.0,29.68,0.0,0.0,62,14,25.6,78.0,23.9,75.0,25.6,78.0,16.2,61.1,0,0,0,0,10.0,6.0,8.5,13.7,Andhra Pradesh,Amaravati
1634319000,2021-10-15 23:00,23.1,73.6,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.0,6.5,43,NE,1005.0,29.67,0.0,0.0,63,8,25.1,77.2,23.1,73.6,25.1,77.2,15.7,60.3,0,0,0,0,10.0,6.0,8.5,13.7,Andhra Pradesh,Amaravati
1634236200,2021-10-15 00:00,27.7,81.9,0,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/night/176.png', 'code': 1063}",3.8,6.1,284,WNW,1003.0,29.62,0.04,0.0,82,71,32.0,89.6,27.7,81.9,32.0,89.6,24.4,75.9,0,0,0,0,10.0,6.0,6.0,9.7,Andhra Pradesh,Visakhapatnam
1634239800,2021-10-15 01:00,27.5,81.5,0,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/night/176.png', 'code': 1063}",3.9,6.2,294,WNW,1002.0,29.6,0.02,0.0,83,76,31.6,88.9,27.5,81.5,31.6,88.9,24.3,75.7,0,21,0,0,10.0,6.0,6.2,10.0,Andhra Pradesh,Visakhapatnam
1634243400,2021-10-15 02:00,27.3,81.1,0,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/night/176.png', 'code': 1063}",4.0,6.4,304,NW,1002.0,29.59,0.03,0.0,83,81,31.3,88.3,27.3,81.1,31.3,88.3,24.1,75.4,0,21,0,0,10.0,6.0,6.3,10.2,Andhra Pradesh,Visakhapatnam
1634247000,2021-10-15 03:00,27.1,80.8,0,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/night/176.png', 'code': 1063}",4.0,6.5,314,NW,1001.0,29.57,0.04,0.0,83,86,30.9,87.6,27.1,80.8,30.9,87.6,24.0,75.2,0,0,0,0,10.0,6.0,6.5,10.4,Andhra Pradesh,Visakhapatnam
1634250600,2021-10-15 04:00,27.2,81.0,0,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/night/176.png', 'code': 1063}",4.0,6.4,320,NW,1002.0,29.59,0.02,0.0,81,85,30.9,87.7,27.2,81.0,30.9,87.7,23.8,74.8,0,21,0,0,10.0,6.0,6.3,10.1,Andhra Pradesh,Visakhapatnam
1634254200,2021-10-15 05:00,27.4,81.3,0,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/night/176.png', 'code': 1063}",3.9,6.2,326,NNW,1003.0,29.61,0.03,0.0,80,85,31.0,87.7,27.4,81.3,31.0,87.7,23.6,74.5,0,21,0,0,10.0,6.0,6.0,9.7,Andhra Pradesh,Visakhapatnam
1634257800,2021-10-15 06:00,27.5,81.5,1,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}",3.8,6.1,332,NNW,1004.0,29.63,0.04,0.0,78,84,31.0,87.8,27.5,81.5,31.0,87.8,23.4,74.1,0,0,0,0,10.0,6.0,5.8,9.4,Andhra Pradesh,Visakhapatnam
1634261400,2021-10-15 07:00,28.0,82.4,1,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}",3.3,5.3,333,NNW,1004.0,29.64,0.02,0.0,75,86,31.5,88.8,28.0,82.4,31.5,88.8,23.1,73.6,0,21,0,0,10.0,6.0,4.9,7.9,Andhra Pradesh,Visakhapatnam
1634265000,2021-10-15 08:00,28.5,83.3,1,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}",2.8,4.4,334,NNW,1004.0,29.66,0.03,0.0,72,87,32.1,89.7,28.5,83.3,32.1,89.7,22.9,73.2,0,21,0,0,10.0,6.0,4.0,6.5,Andhra Pradesh,Visakhapatnam
